id,Name,Country,group,Biome,AreaKM2,Longitude,Latitude,Intactness_A,Intactness_R,Amphibian,Mammal,Bird,Food_A,Nonfood_A,Food_V,Nonfood_V,Livestock,Pasture_A,W_available,W_withdrawal,Sediment,NPP_actual,NPP_potential,C_veg,C_veg_pot,Forest,Wetland,Soil_C,Soil_C_density,CEC,Soil_water,Soil_N
12,Sierra pampeana,Argentina,Mountains,Tropical & Subtropical Moist Broadleaf Forests,4326.85,-64.535,-24.503,0.77892763,0.78387839,13.08959538,72.06520954,334.1842105,192.7113223,77.50566052,490.4584912,1356.109439,3755.413069,0.004060535,1920.181867,1125.690371,0.005456143,631.4468119,651.6478007,92.20291202,140.8301887,0.840302694,0,81.90511983,654.5399234,20.08176086,18.34530038,1.909092504
13,Sierra de Melanzan,Argentina,Mountains,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2623,-66.485,-30.83,0.74886983,0.772268281,2,39.85830527,167.4615385,0.702857158,2.045714283,1957.931452,302.5171387,5252.079873,0.002061945,1288.881687,257.8865476,0.095266973,336.1153294,355.4170628,42.28539108,43.30714286,0.036511853,0,49.47629575,308.6097882,15.24967929,19.1192815,2.855531953
14,Hoang Lien Son,Vietnam,Mountains,Tropical & Subtropical Moist Broadleaf Forests,18835.95,104.114,21.926,0.816132606,0.770421942,36.85808929,113.686598,459.5668449,1137.181357,94.67754225,1238.299998,3266.653824,18376.25422,0.043419083,26613.36412,1485.977512,43.35784691,749.3821946,904.8652302,38.19485864,101.1673729,0.46725592,0.001518475,45.42958268,563.4466546,20.44476887,13.84208307,1.046731159
15,Sankamphaeng Range,Thailand,Mountains,Tropical & Subtropical Dry Broadleaf Forests,9670.09,102.269,14.384,0.884953185,0.808560005,27.44126984,90.76430716,320.8217822,925.704274,110.962393,702.4683739,776.310256,5911.75892,0.007451304,14293.79356,1837.130041,0.353643796,681.9675303,835.5750701,86.88730939,160.2672414,0.585636408,0,76.97186671,407.4110801,17.77036921,14.76616915,1.202374305
16,Phetchabun Mountains,"Thailand, Laos",Mountains,Tropical & Subtropical Moist Broadleaf Forests,15587.18,101.229,16.933,0.891487671,0.828918719,31.05819939,108.6276395,367.1474359,672.6128176,188.3564103,749.9861553,808.4446159,2893.550293,0.004470292,40438.24639,1613.620841,1.0417975,615.19877,814.2661092,67.88788116,117.8659794,0.470147512,0,82.48639779,439.1082024,18.42897382,13.99695266,1.030141305
17,Phu Phan Range,Thailand,Mountains,Tropical & Subtropical Dry Broadleaf Forests,3948.57,104.088,16.832,0.82774063,0.786991059,27.03050425,76.60302967,236.475,1318.785998,169.6280006,695.3800003,1185.936,5936.592746,0.004395758,133669.4818,1568.041,0.127184485,538.2345522,772.6581186,56.00142586,86.19230769,0.344257313,0,51.44660804,360.2971461,14.79086086,13.94531897,1.04262219
18,Drakensberg,South Africa,Mountains,"Tropical & Subtropical Grasslands, Savannas & Shrublands",162787.38,29.578,-28.821,0.638424021,0.58629091,21.37105233,81.51429164,325.4658952,249.7544824,78.56446373,1905.143209,762.6283264,18876.78413,0.55935346,3176.845631,565.4603244,0.438190967,639.9011611,777.1556618,47.0163135,55.94186315,0.167518629,0.003412654,84.76967474,426.5340769,15.68486261,15.24794376,1.348648775
19,Serra de Chela,Angola,Mountains,Deserts & Xeric Shrublands,6955.44,13.023,-16.446,0.473760719,0.481356348,11.35360094,56.01192444,253.4605263,30.32345751,0.02345679,201.7827168,51.22469132,5630.199439,0.759288939,2347.946381,8.036069688,0.299069184,118.4302042,114.1255149,14.33559414,15.52469136,0.033115903,0,29.62235513,271.3152042,14.18074768,13.01214766,0.799646197
20,Serra Chilengue,Angola,Mountains,"Tropical & Subtropical Grasslands, Savannas & Shrublands",15789.23,13.665,-14.28,0.63041453,0.610343869,18.17883231,70.47574754,323.4339623,805.9138463,3.132307687,282.8292295,160.8692306,10251.32932,0.578069907,967.8974573,23.50064534,0.152505269,411.1405447,449.9488115,66.29639455,62.16752577,0.190509402,0,35.0398128,433.3343299,8.001837843,15.05235245,1.048200994
21,Bié Plateau,Angola,Mountains,"Tropical & Subtropical Grasslands, Savannas & Shrublands",53363.46,14.737,-11.576,0.737716515,0.679959339,27.39355072,84.84630359,346.3514019,447.3840699,18.65331232,313.0040998,172.1558358,1166.266149,0.565115951,8766.417392,33.27859142,3.565033278,775.2587111,919.0334298,111.7603662,106.0922713,0.347815422,0.0006599,42.87878193,551.4942234,6.373345593,13.29875675,1.167150558
22,Kaokoveld,Namibia,Mountains,"Tropical & Subtropical Grasslands, Savannas & Shrublands",14899.21,12.91,-17.822,0.504713658,0.521017503,9.813258943,54.5001641,220.36,2.07582419,0.003296703,78.75109914,6.549450549,2343.406154,0.725700715,6660.040442,10.22360197,0.951841116,76.85050625,42.96161459,9.472577811,13.77747253,0.005347595,0.001641856,30.07288369,136.3116199,14.88409874,16.49250219,0.585817633
23,Andringitra Mountains,Madagascar,Mountains,Tropical & Subtropical Moist Broadleaf Forests,40145.32,46.623,-23.384,0.589890176,0.499683425,17.68224464,27.00477916,122.235443,251.4057091,23.3161416,841.7785439,964.7698784,12689.79537,0.451169035,6560.784483,611.3373331,0.680749352,1029.957352,1238.18898,48.73017265,78.6027668,0.274051703,0.000333098,80.77216203,513.7012728,12.92818676,14.5218807,1.425902778
24,Plateau du Bemaraha,Madagascar,Mountains,Tropical & Subtropical Moist Broadleaf Forests,8685.38,45.696,-19.321,0.566056203,0.469299278,2.901235715,11.19845768,104.9101124,107.9554546,2.080909094,359.6636359,214.7563649,5941.833221,0.527228029,16180.0089,2411.580478,7.440988297,594.3887563,781.1219003,34.32856533,76.23214286,0.113229759,0,64.5570063,363.036155,10.13521119,12.32118959,1.028836436
25,Tsaratanana Range,Madagascar,Mountains,Tropical & Subtropical Moist Broadleaf Forests,52968.92,49.226,-14.566,0.61883543,0.521515082,16.35775242,31.34449828,139.5700935,254.5047983,165.8452012,718.8506186,921.4185741,9482.371447,0.149461156,8337.081968,210.1849698,2.969111571,1074.059829,1268.673038,85.4243607,166.0750774,0.549879474,0.003332499,83.99208748,626.583246,14.90044027,14.01517422,1.313709619
26,Bokkeveldberg,South Africa,Mountains,Deserts & Xeric Shrublands,1222.93,19.012,-31.433,0.354723616,0.383481258,6.290322581,59.46296296,186.5,343.5235257,9.882352875,245.6588242,694.4176445,3035.549167,0.895253316,915.738944,590.503616,0.487979,57.78771043,101.3350711,27.45830462,6.671875,0.019657535,0,21.7794653,175.8507725,10.31360593,13.93325316,0.815880936
27,Neweveldberge,South Africa,Mountains,Deserts & Xeric Shrublands,2254.05,21.611,-32.296,0.31853869,0.358755236,6.501290323,55.11741935,183.3913043,0,0,0,0,2608.466626,0.982493032,682.7493612,371.1292237,0.000221566,65.15710272,127.8214272,12.74805195,9.089285714,0.000182057,0,22.59708385,117.2976174,12.54052478,17.50499195,0.654718182
28,Cederberg,South Africa,Mountains,"Mediterranean Forests, Woodlands & Scrub",4771.58,19.182,-32.371,0.383287726,0.381092697,9.034404365,65.59593816,214.4166667,86.16507899,3.361904738,278.3222221,316.7142847,3399.228814,0.871666209,915.4696427,590.3581962,1.511107096,202.5459615,321.6679872,33.61008696,6.285714286,0.019255893,0,30.04170525,144.7238299,11.46288625,14.73740898,0.965682643
29,Olifantsrivierberge,South Africa,Mountains,"Mediterranean Forests, Woodlands & Scrub",2287.16,18.831,-32.443,0.437073096,0.410450989,6.508404694,67.85252141,225.8888889,538.4066663,63.79999993,648.3200022,332.6600032,5593.075326,0.787722329,395.8565399,352.030897,0.311764216,261.3017289,350.7854399,36.02385321,13.90517241,0.058707065,0,27.6424959,203.6914699,10.00310041,12.13539344,0.674125517
30,Kouebokkeveldberge,South Africa,Mountains,"Mediterranean Forests, Woodlands & Scrub",653.6,19.143,-32.769,0.470569583,0.427020882,10.69912473,68.81619256,222.8,171.7999971,1.122222246,497.4444432,646.1555549,5943.711679,0.816594034,915.738944,590.503616,0.394213035,314.4773933,426.5246955,52.28426396,4,0.100366796,0,48.9127871,286.2975925,15.12447815,16.85317019,1.323737489
31,Swartruggens,South Africa,Mountains,"Mediterranean Forests, Woodlands & Scrub",1731.91,19.55,-33.032,0.382887174,0.378628083,10.02718528,65.92388122,219.875,74.48800021,0.91599999,331.2839966,337.8960013,4244.363775,0.841622815,919.5440208,605.5718173,0.116493734,190.3169495,264.4816663,25.45506419,4,0.005370641,0,30.77090553,127.9629293,12.86333741,12.21166667,0.819904158
32,Hexrivierberge,South Africa,Mountains,"Mediterranean Forests, Woodlands & Scrub",1230.6,19.491,-33.436,0.52273147,0.456618209,11.17398844,66.79364162,234.1818182,298.1222257,5.977777866,2154.277732,1720.388924,6999.004268,0.775462341,965.7759705,829.5709397,0.036897123,293.9596193,346.392746,46.27466667,12.55555556,0.056081894,0,52.01400345,313.3881703,16.83327278,16.64148751,1.404921558
33,Langeberg,South Africa,Mountains,"Mediterranean Forests, Woodlands & Scrub",2661.33,20.607,-33.898,0.489359413,0.458724709,11.59757064,68.83258516,265.9333333,142.9967747,13.39677414,376.7999986,367.7032242,5075.420827,0.558415036,745.8252401,617.2354213,0.035034341,278.9778506,338.5224009,54.54495244,12.30645161,0.196775091,0,62.90424703,407.4949086,15.57508207,16.05193778,1.15550224
34,Groot-Swartberge,South Africa,Mountains,"Mediterranean Forests, Woodlands & Scrub",6254.14,22.023,-33.361,0.370413786,0.377570212,8.228777638,63.92943063,241.2833333,23.99340652,0.25054945,382.8120856,391.2890098,4466.453037,0.756280782,761.66272,472.255424,0.411249376,166.7473033,239.990232,39.66618497,4.370879121,0.018621418,0,39.60143628,210.7924438,14.00918536,16.72847151,0.681170724
35,Kammanassieberg,South Africa,Mountains,"Mediterranean Forests, Woodlands & Scrub",1156.37,22.722,-33.619,0.441032259,0.427824096,12.42839582,67.88260602,286.1,100.863158,3.647368384,1884.094768,1438.16843,5224.428003,0.766588305,761.66272,472.255424,0.932535999,433.3391435,509.7032133,46.80270655,4.526315789,0.034366503,0,59.9518171,314.8741129,15.6034403,16.95577396,1.470122852
36,Outeniekwaberge,South Africa,Mountains,"Mediterranean Forests, Woodlands & Scrub",3333,22.489,-33.852,0.576129519,0.561637801,13.38781639,71.73766624,285.1428571,143.1441847,10.60000006,2162.100001,1546.639539,6216.390133,0.474483585,429.6181853,306.3838029,0.623286213,441.9329419,513.9295903,59.08484998,45.38953488,0.283021593,0,65.70907355,494.7151525,17.3538075,17.62293676,1.454107182
37,Grootrivierhoogte,South Africa,Mountains,"Mediterranean Forests, Woodlands & Scrub",2162.36,23.896,-33.169,0.353108066,0.378293102,8.581812147,61.23962828,247.7142857,5.853571343,0.060714287,423.5964312,253.9821429,6622.836613,0.817935447,692.47436,240.1279742,2.235348919,114.2794726,185.9949081,43.19831869,4.5,0.023011892,0,35.58462061,174.7644885,11.80691631,15.85041459,0.89049087
38,Baviaanskloofberge,South Africa,Mountains,"Mediterranean Forests, Woodlands & Scrub",1594.77,24.218,-33.569,0.387324301,0.399467887,8.679642058,68.95704698,302,3.845454551,0.054545456,523.7136376,289.3727278,7956.077345,0.595162991,689.78304,231.098576,0.602611938,364.5266949,429.3756037,56.89229969,4.260869565,0.102382744,0,62.10539775,325.9093763,14.68868956,17.87042002,0.844401238
39,Kougaberge,South Africa,Mountains,"Mediterranean Forests, Woodlands & Scrub",2395.01,23.895,-33.682,0.427203858,0.423352342,9.671232877,69.94431209,302.2857143,28.94166663,0.455555548,834.8500061,723.058331,9780.472469,0.554874148,696.0815987,257.5766088,1.688583509,483.187394,534.0675159,48.20130092,5.444444444,0.081257556,0,67.03899263,380.8119378,15.64311388,18.26022083,1.468137867
40,Tsitsiammaberge,South Africa,Mountains,"Mediterranean Forests, Woodlands & Scrub",2680.01,23.85,-33.869,0.625742832,0.601844227,13.15390771,70.79781275,300.2413793,39.23333334,0.911111113,1551.761119,1041.93889,12027.21154,0.341318363,278.6886434,97.05608637,0.202841973,590.4401143,664.3950653,79.59156221,49.22222222,0.287606781,0,66.06927001,515.964259,17.3209542,15.52062816,1.339284002
41,Klein-Winterhoekberge,South Africa,Mountains,"Mediterranean Forests, Woodlands & Scrub",2636.29,25.226,-33.289,0.466730721,0.475853759,12.79146275,72.99102773,304.96,8.878048999,0.119512196,429.1804884,157.6707321,6520.888822,0.54085462,319.9504682,293.2329305,1.333037411,314.8403923,405.553523,89.48952798,29.3902439,0.182147445,0,56.86044425,321.8165284,12.72186367,15.78412181,0.839711786
42,Groot-Winterhoekberge,South Africa,Mountains,"Mediterranean Forests, Woodlands & Scrub",1613.45,24.984,-33.655,0.492076774,0.494950343,11.35286344,74.74096916,318.1764706,15.7181818,0.513636358,452.9590947,174.8999988,8762.664988,0.402374524,340.0340451,183.3369497,0.458950727,417.0826902,471.5915389,78.83646521,40.36363636,0.269717484,0,72.58675184,423.0243112,15.25244358,16.98504837,0.609010543
43,Onder-Sneeuberg,South Africa,Mountains,Deserts & Xeric Shrublands,1335.94,23.771,-32.141,0.37886101,0.401117645,8.395742358,57.055131,215.9230769,1.866666694,0.011111111,225.2611118,61.11111111,4425.132728,0.85276936,604.741832,253.2435728,0.052508509,90.15639496,164.8456785,26.28714734,7.027777778,0.009500031,0,32.33735207,191.2452131,13.98452539,16.56683033,0.789847233
44,Kamdebooberge,South Africa,Mountains,Deserts & Xeric Shrublands,1163.34,24.127,-32.157,0.416690637,0.43403746,9,57.92808005,225.9,41.42500016,0.362500002,786.9937477,642.1999969,6759.686705,0.691652726,333.1426866,323.9688407,0.020573749,161.3689575,220.5347252,53.06312769,4,0.026665159,0,51.96508651,298.2084326,16.47050556,17.35830212,0.700873893
45,Sneeuberg,South Africa,Mountains,Deserts & Xeric Shrublands,1849.86,24.616,-31.74,0.375293944,0.397373208,9,58.07218517,225.2631579,1.333333325,0.014814815,145.1666655,69.16666667,8753.762447,0.903081671,1803.259446,460.5951469,0.001198445,235.7783548,316.329739,45.58171118,4,0.000720274,0,35.42168775,176.6187694,15.55189075,16.739898,0.84533149
46,Bamboesberg,South Africa,Mountains,Deserts & Xeric Shrublands,1334.67,26.106,-31.525,0.405446395,0.410209015,11.94082192,63.42191781,236.3333333,2.21764703,0.017647059,486.8823485,145.7647059,11957.59659,0.848733382,1666.686253,500.200088,0.004967008,406.656406,482.6620399,43.17115987,11.22222222,0.003041804,0,41.0314196,220.7217981,15.1878873,17.06007646,0.73679955
47,Tandjiesberg,South Africa,Mountains,"Mediterranean Forests, Woodlands & Scrub",1242.58,24.982,-32.122,0.40384445,0.423884551,9.501746217,63.3911525,242.1538462,2.693333289,0.033333334,259.006665,165.1800008,10572.08722,0.90432508,525.4890333,453.1697963,0.040734159,283.1019409,309.0935201,47.55540449,6.133333333,0.006403977,0,48.88681531,249.7344457,16.5393603,17.79686593,0.613818904
48,Bankberg,South Africa,Mountains,"Mediterranean Forests, Woodlands & Scrub",773.04,25.427,-32.287,0.430151945,0.434020923,12.03301887,65.94339623,262,0.41818182,0,178.7818215,0,9479.796182,0.958494213,744.55168,528.461536,0.570570505,244.0008795,319.5063144,46.34973262,4,0.006936118,0,51.60413655,224.1256231,14.47340332,17.47097378,0.651573019
49,Groot Bruintjieshoogde,South Africa,Mountains,"Mediterranean Forests, Woodlands & Scrub",1946.6,25.248,-32.527,0.432366929,0.443082529,11.18916914,67.67692878,264.4736842,14.48928552,0.146428575,647.2785688,407.6750009,10340.92797,0.515233801,432.0280982,421.0473122,0.503989287,238.5729648,333.5540695,55.75550847,10.85714286,0.083990933,0,56.98260101,310.2610121,14.99144146,16.50859492,0.779843041
50,Winterberge,South Africa,Mountains,"Tropical & Subtropical Grasslands, Savannas & Shrublands",7843.77,26.485,-32.422,0.505232245,0.499414605,15.14557723,75.45632683,300.7088608,12.82201841,0.240366975,958.1422041,453.8770639,15625.46097,0.72464941,782.4399746,393.2972663,0.161184845,508.4823586,609.4244413,49.42666525,41.00458716,0.161474521,0,65.39484326,369.3766168,15.40910982,17.5225067,1.27415565
51,Plateau of Mozambique,Mozambique,Mountains,Tropical & Subtropical Moist Broadleaf Forests,3219.82,37.027,-15.358,0.76214351,0.687231362,34.8960041,67.58683402,343.7666667,1621.680466,73.87561,281.0707314,457.6731716,1027.873397,0.667139877,15940.23395,21.05237685,0.114512349,682.0896368,791.2689715,66.74727861,118.4390244,0.363693975,0,64.20106138,509.2101115,9.03847879,13.04229685,1.17541399
52,Ankaratra Mountains,Madagascar,Mountains,Tropical & Subtropical Moist Broadleaf Forests,56085.63,47.248,-18.678,0.569903757,0.483343833,6.511775074,14.58754009,99.57548845,356.6900447,11.29393934,742.6562771,575.5956704,10853.98644,0.555618892,29162.12811,2536.163393,3.185699536,845.2429161,984.7374578,22.96913191,62.54196816,0.124550238,0.000180594,81.48796618,410.7660187,10.59411503,14.67668347,1.416720884
53,Eastern Highlands,Zimbabwe,Mountains,"Tropical & Subtropical Grasslands, Savannas & Shrublands",17732.14,32.792,-19.019,0.784738013,0.7077802,39.07954857,125.5924335,454.4010989,820.3740099,363.1207052,424.9295162,504.7612339,8204.933554,0.423637214,7617.370315,222.5519181,0.7005907,694.2026225,749.3217185,62.1253736,60.50442478,0.30810766,0,48.87986355,533.6366858,9.55511325,13.13434745,1.184474438
54,Kilimanjaro,"Tanzania, Kenya",Mountains,Tropical & Subtropical Moist Broadleaf Forests,3203.74,37.348,-3.073,0.768054178,0.66778036,23.91364606,150.5573028,559.7575758,3552.126995,387.2837836,791.8891826,171.3945968,29395.44601,0.282905794,5232.477634,1118.69957,0.010577148,822.3690186,884.3603565,46.98130555,52.05405405,0.379152973,0,101.3143595,695.3589615,28.61704434,27.64381003,6.762094407
55,Mount Kenia,Kenya,Mountains,Tropical & Subtropical Moist Broadleaf Forests,2504.19,37.371,-0.095,0.720129937,0.674121771,28.14606742,139.8198842,514.2916667,2130.674203,443.9128943,1175.232255,492.993546,35423.32541,0.156242989,7816.405922,739.3681756,0.227871109,812.8895893,920.1618919,55.11564093,52.34375,0.45888492,0,105.1414462,767.3816281,30.44617518,25.23571429,7.47932661
56,Mount Elgon,"Uganda, Kenya",Mountains,Tropical & Subtropical Moist Broadleaf Forests,6186.12,34.534,1.153,0.683019803,0.637284176,20.05940047,150.8440392,516.5238095,3782.298589,159.0464787,566.035214,915.4394352,84829.68115,0.154871406,26697.75001,228.847746,1.355647501,804.0812234,1194.790086,43.18947202,59.50714286,0.383751872,0.016719635,74.98832015,644.2211746,25.33631214,18.94970986,3.705991959
57,Ruwenzori,"Uganda, Kenya",Mountains,Tropical & Subtropical Moist Broadleaf Forests,4365.8,29.964,0.383,0.767929871,0.691251534,29.07176379,177.441533,651.5106383,2156.426016,150.2040006,393.3879996,638.448002,20713.60648,0.075058193,17988.12262,162.6852,11.04688692,930.5620343,1203.401572,46.46745961,110.7,0.572649455,0.025383707,86.20167368,761.2865222,22.7114245,15.22698662,1.97718722
58,South Pare,Tanzania,Mountains,"Tropical & Subtropical Grasslands, Savannas & Shrublands",3037.67,37.947,-4.3,0.691475051,0.617242371,26.15197313,139.3551637,511.65625,1493.964096,327.0948721,488.5692326,310.5641018,13817.03504,0.453801784,3316.577577,1024.925407,0.185948902,599.0200242,749.6121811,25.73530357,69.11538462,0.14490009,0.067883628,36.83590343,420.1017393,16.34581869,12.42621115,1.096059906
59,North Pare,Tanzania,Mountains,"Tropical & Subtropical Grasslands, Savannas & Shrublands",1877.67,37.711,-3.808,0.696819891,0.626190785,26.10244787,141.1251133,534.8333333,1546.439999,1766.345008,565.1700012,243.6249985,21158.18895,0.3659522,4019.454678,1250.908629,0.116581774,585.6237518,699.0479218,23.71764092,43.45,0.119930346,0.01843318,42.54312345,402.5357851,17.14730642,11.47976353,1.322669365
60,East Usambara,Tanzania,Mountains,"Tropical & Subtropical Grasslands, Savannas & Shrublands",1764.42,38.7,-4.944,0.723522426,0.644269115,39.88942308,141.7884615,497.1764706,5256.89473,171.3736845,283.0210523,606.3789432,12183.41896,0.154710027,1472.325165,426.4105495,0.035044168,754.5144107,957.1257324,153.8699277,29.68421053,0.427700102,0.01875,45.45754305,564.1388504,13.37954641,12.53461538,1.484860567
61,West Usambara,Tanzania,Mountains,"Tropical & Subtropical Grasslands, Savannas & Shrublands",3742.56,38.358,-4.754,0.726208731,0.641230365,32.43299909,144.5834093,514.7777778,2799.819992,280.5888902,394.9955571,520.0044468,20336.02206,0.409356492,4015.20061,1249.550213,0.210621394,770.567471,955.6743802,67.49008868,48.67777778,0.270209753,0.03117888,50.5610442,621.6440808,14.65130905,12.54984069,1.844055494
62,Taita Hills,Kenya,Mountains,"Tropical & Subtropical Grasslands, Savannas & Shrublands",1672.11,38.389,-3.41,0.674256663,0.617532412,28.43826531,141.1204082,503,1146.31499,398.1499988,535.4900116,440.7699989,19435.61123,0.190586603,2101.78488,175.9908304,0.012268361,600.3011688,781.0722198,31.66902238,68.875,0.125288094,0,48.25879655,402.3595051,13.4554326,13.16428571,1.498413248
63,Uluguru,Tanzania,Mountains,"Tropical & Subtropical Grasslands, Savannas & Shrublands",4184.6,37.58,-7.128,0.787403516,0.705994175,41.06464032,132.0658561,476.2619048,947.7680856,181.0617024,229.2489374,143.5170214,13616.39347,0.476600869,6175.330846,148.7152069,0.026715574,745.9477617,809.9807947,59.24367603,75.89361702,0.470565648,0.001822969,50.74805106,597.8445729,13.17060338,12.82317197,1.872699981
64,Nguru,Tanzania,Mountains,"Tropical & Subtropical Grasslands, Savannas & Shrublands",5137.57,37.427,-5.868,0.782473998,0.712934725,29.98111019,127.4507042,468.2,1090.668334,60.37833325,285.8216676,276.4699998,15042.16573,0.504771675,5195.13047,219.2184348,4.20E-06,840.4042582,928.4143504,54.01273038,102.9,0.332885827,0,47.85336944,550.3619762,13.25119503,11.35719019,0.564819418
65,Udzungwa,Tanzania,Mountains,"Tropical & Subtropical Grasslands, Savannas & Shrublands",17792.82,36.438,-7.278,0.779257156,0.695080011,31.44260186,134.3085061,474.5307263,1013.157417,167.7311009,277.5578945,142.0468896,9173.081505,0.511824098,15739.16046,162.4315108,1.006858172,711.9853303,777.7908061,53.02326218,73.18809524,0.314736586,0.004957811,45.97323142,527.4983741,12.62281782,12.88245949,1.578312176
66,Ukaguru,Tanzania,Mountains,"Tropical & Subtropical Grasslands, Savannas & Shrublands",3898.59,36.858,-6.378,0.779381696,0.695006113,30.19960776,129.193942,472.4358974,1029.219565,143.7152162,224.2630436,137.7782615,18762.39894,0.501694702,5232.517632,220.946416,0.090611535,791.8864056,856.3306208,46.22875,49.73913043,0.268533707,0.013728481,48.96778275,525.4253159,12.91598632,10.86881674,0.99874701
67,Ethiopian Highlands,"Ethiopia, Tanzania, Sudan",Mountains,Montane Grasslands & Shrublands,631217.37,38.086,9.896,0.745081093,0.664865346,9.251927161,69.81648872,343.7944102,1425.641216,245.239473,301.1772691,357.9356267,45797.4037,0.183778492,18168.69359,421.9480517,13.97728008,533.5767992,695.5387187,16.02078174,51.54437791,0.148346102,0.002243791,60.06836609,372.9406625,33.47193599,16.96736903,1.450025665
